           t;          pp;         Mop;          Ms;         nsr;          ns
   1.3200000; 165.2531584;  13.6983630;  13.7027542; 991.4280110; 993.5062078
   1.3400000; 168.8344725;  13.9952296;  14.0089366; 994.5140055; 994.4888265
   1.3600000; 171.5363739;  14.2191989;  14.2381391; 997.0280110; 996.1517776
   1.3800000; 173.2121943;  14.3581130;  14.3797663; 998.6280110; 998.2024294
   1.4000000; 174.0663760;  14.4289188;  14.4468563;1002.2859950;1000.0884422
   1.4200000; 174.5005357;  14.4649077;  14.4747056;1003.2000000;1001.2886485
   1.4400000; 174.7696880;  14.4872186;  14.4911072;1001.7140050;1001.8345897
   1.4600000; 174.9672679;  14.5035966;  14.5051382;1003.0859950;1002.0471522
   1.4800000; 175.1104128;  14.5154624;  14.5165613;1003.2000000;1002.1646682
   1.5000000; 175.2209853;  14.5246281;  14.5253693;1001.7140050;1002.2450467
   1.5200000; 175.3187027;  14.5327282;  14.5330707;1003.0859950;1002.2866762
   1.5400000; 175.4018477;  14.5396204;  14.5399336;1003.2000000;1002.3157310
   1.5600000; 175.4699926;  14.5452691;  14.5456005;1001.7140050;1002.3459718
   1.5800000; 175.5295651;  14.5502073;  14.5504260;1003.0859950;1002.3687667
   1.6000000; 175.5749926;  14.5539729;  14.5542640;1003.2000000;1002.3943655
   1.6200000; 175.6195651;  14.5576677;  14.5577411;1001.7140050;1002.4059630
   1.6400000; 175.6697101;  14.5618243;  14.5617411;1003.0859950;1002.3997328
   1.6600000; 175.7065651;  14.5648794;  14.5651101;1003.2000000;1002.4128862
   1.6800000; 175.7425651;  14.5678635;  14.5679389;1001.7140050;1002.4233341
   1.7000000; 175.7837101;  14.5712742;  14.5711988;1003.0859950;1002.4181257
   1.7200000; 175.8137101;  14.5737610;  14.5739523;1003.2000000;1002.4288871
   1.7400000; 175.8398550;  14.5759282;  14.5760458;1001.7140050;1002.4417703
   1.7600000; 175.8694275;  14.5783795;  14.5783406;1003.0859950;1002.4409019
   1.7800000; 175.8801376;  14.5792673;  14.5795937;1003.2000000;1002.4634356
   1.8000000; 175.9007101;  14.5809727;  14.5808669;1001.7140050;1002.4638211
   1.8200000; 175.9324275;  14.5836018;  14.5833775;1003.0859950;1002.4429952
   1.8400000; 175.9482826;  14.5849161;  14.5851686;1003.2000000;1002.4547415
   1.8600000; 175.9598550;  14.5858754;  14.5860146;1001.7140050;1002.4715398
   1.8800000; 175.9830000;  14.5877939;  14.5876083;1003.0859950;1002.4607182
   1.9000000; 175.9902826;  14.5883976;  14.5886410;1003.2000000;1002.4732063
   1.9200000; 176.0052826;  14.5896410;  14.5895640;1001.7140050;1002.4736538
   1.9400000; 176.0198550;  14.5908490;  14.5908344;1003.0859950;1002.4698205
   1.9600000; 176.0344275;  14.5920569;  14.5920637;1003.2000000;1002.4693071
   1.9800000; 176.0485725;  14.5932294;  14.5932442;1001.7140050;1002.4699862
   2.0000000; 176.0588550;  14.5940818;  14.5941567;1003.0859950;1002.4754838
   2.0200000; 176.0631376;  14.5944368;  14.5945583;1003.2000000;1002.4863395
   2.0400000; 176.0832826;  14.5961067;  14.5958498;1001.7140050;1002.4699114
   2.0600000; 176.1090000;  14.5982385;  14.5980944;1003.0859950;1002.4510747
   2.0800000; 176.1184275;  14.5990200;  14.5993007;1003.2000000;1002.4674066
   2.1000000; 176.1274275;  14.5997660;  14.5998366;1001.7140050;1002.4800235
   2.1200000; 176.1308550;  14.6000501;  14.6001486;1003.0859950;1002.4890781
   2.1400000; 176.1334275;  14.6002633;  14.6002940;1003.2000000;1002.4939534
   2.1600000; 176.1437174;  14.6011163;  14.6009829;1001.7140050;1002.4845253
   2.1800000; 176.1475725;  14.6014359;  14.6015256;1003.0859950;1002.4872786
   2.2000000; 176.1317101;  14.6001210;  14.6004903;1003.2000000;1002.5176800
   2.2200000; 176.1424275;  14.6010094;  14.6006033;1001.7140050;1002.4975097
   2.2400000; 176.1595725;  14.6024306;  14.6022272;1003.0859950;1002.4705077
   2.2600000; 176.1668550;  14.6030343;  14.6031968;1003.2000000;1002.4765789
   2.2800000; 176.1732826;  14.6035671;  14.6036256;1001.7140050;1002.4851447
   2.3000000; 176.1912826;  14.6050591;  14.6048615;1003.0859950;1002.4714252
   2.3200000; 176.2028550;  14.6060184;  14.6060974;1003.2000000;1002.4712803
   2.3400000; 176.2135725;  14.6069068;  14.6069512;1001.7140050;1002.4763018
   2.3600000; 176.2187174;  14.6073333;  14.6074384;1003.0859950;1002.4850586
   2.3800000; 176.2140000;  14.6069423;  14.6071333;1003.2000000;1002.5022587
   2.4000000; 176.2092826;  14.6065512;  14.6065793;1001.7140050;1002.5098146
   2.4200000; 176.2182826;  14.6072973;  14.6070510;1003.0859950;1002.4920427
   2.4400000; 176.2294275;  14.6082211;  14.6081398;1003.2000000;1002.4787539
   2.4600000; 176.2401450;  14.6091095;  14.6091192;1001.7140050;1002.4767798
   2.4800000; 176.2341450;  14.6086121;  14.6089139;1003.0859950;1002.4995633
   2.5000000; 176.2255725;  14.6079015;  14.6079996;1003.2000000;1002.5155229
   2.5200000; 176.2260000;  14.6079370;  14.6077787;1001.7140050;1002.5065331
   2.5400000; 176.2217101;  14.6075814;  14.6076293;1003.0859950;1002.5058576
   2.5600000; 176.2268550;  14.6080079;  14.6078590;1003.2000000;1002.4960049
   2.5800000; 176.2397174;  14.6090741;  14.6089110;1001.7140050;1002.4793132
   2.6000000; 176.2457174;  14.6095714;  14.6096737;1003.0859950;1002.4820925
   2.6200000; 176.2268550;  14.6080079;  14.6084717;1003.2000000;1002.5199373
   2.6400000; 176.2238550;  14.6077592;  14.6075559;1001.7140050;1002.5179187
   2.6600000; 176.2345725;  14.6086476;  14.6083445;1003.0859950;1002.4894484
   2.6800000; 176.2350000;  14.6086830;  14.6088214;1003.2000000;1002.4912452
   2.7000000; 176.2405725;  14.6091449;  14.6090972;1001.7140050;1002.4913431
   2.7200000; 176.2358550;  14.6087539;  14.6089192;1003.0859950;1002.5023994
   2.7400000; 176.2298550;  14.6082565;  14.6083104;1003.2000000;1002.5112102
   2.7600000; 176.2422899;  14.6092873;  14.6089644;1001.7140050;1002.4883586
   2.7800000; 176.2431450;  14.6093582;  14.6095021;1003.0859950;1002.4899859
   2.8000000; 176.2302826;  14.6082920;  14.6085758;1003.2000000;1002.5154664
   2.8200000; 176.2302826;  14.6082920;  14.6081076;1001.7140050;1002.5097243
   2.8400000; 176.2470000;  14.6096777;  14.6093365;1003.0859950;1002.4787287
   2.8600000; 176.2555725;  14.6103883;  14.6104833;1003.2000000;1002.4759269
   2.8800000; 176.2650000;  14.6111698;  14.6111939;1001.7140050;1002.4799607
   2.9000000; 176.2577101;  14.6105655;  14.6108600;1003.0859950;1002.5026485
   2.9200000; 176.2658550;  14.6112407;  14.6110219;1003.2000000;1002.4943313
   2.9400000; 176.2847174;  14.6128043;  14.6125637;1001.7140050;1002.4697180
   2.9600000; 176.2770000;  14.6121645;  14.6126026;1003.0859950;1002.4956952
   2.9800000; 176.2645725;  14.6111344;  14.6113078;1003.2000000;1002.5211669
   3.0000000; 176.2607174;  14.6108148;  14.6106692;1001.7140050;1002.5153715
   3.0200000; 176.2555725;  14.6103883;  14.6103732;1003.0859950;1002.5104272
   3.0400000; 176.2478550;  14.6097486;  14.6097967;1003.2000000;1002.5138908
   3.0600000; 176.2542826;  14.6102814;  14.6100414;1001.7140050;1002.4972561
   3.0800000; 176.2598550;  14.6107433;  14.6107135;1003.0859950;1002.4881701
   3.1000000; 176.2761450;  14.6120937;  14.6119160;1003.2000000;1002.4735716
   3.1200000; 176.2791450;  14.6123423;  14.6125489;1001.7140050;1002.4837536
   3.1400000; 176.2718550;  14.6117380;  14.6119665;1003.0859950;1002.5066469
   3.1600000; 176.2598550;  14.6107433;  14.6108541;1003.2000000;1002.5216405
   3.1800000; 176.2637174;  14.6110635;  14.6107905;1001.7140050;1002.5044027
   3.2000000; 176.2624349;  14.6109572;  14.6109919;1003.0859950;1002.4994448
   3.2200000; 176.2435725;  14.6093936;  14.6097212;1003.2000000;1002.5253735
   3.2400000; 176.2272826;  14.6080433;  14.6080503;1001.7140050;1002.5356544
   3.2600000; 176.2212826;  14.6075459;  14.6073441;1003.0859950;1002.5211988
   3.2800000; 176.2427174;  14.6093227;  14.6088040;1003.2000000;1002.4764463
   3.3000000; 176.2551450;  14.6103529;  14.6104327;1001.7140050;1002.4674394
   3.3200000; 176.2465651;  14.6096417;  14.6100555;1003.0859950;1002.5005627
   3.3400000; 176.2521376;  14.6101036;  14.6099257;1003.2000000;1002.4986761
   3.3600000; 176.2735725;  14.6118804;  14.6115503;1001.7140050;1002.4684760
   3.3800000; 176.2898624;  14.6132307;  14.6132768;1003.0859950;1002.4620489
   3.4000000; 176.2765725;  14.6121291;  14.6126776;1003.2000000;1002.5043532
   3.4200000; 176.2632826;  14.6110275;  14.6111217;1001.7140050;1002.5270617
   3.4400000; 176.2628550;  14.6109920;  14.6107506;1003.0859950;1002.5118572
   3.4600000; 176.2795725;  14.6123778;  14.6120287;1003.2000000;1002.4787113
   3.4800000; 176.2885725;  14.6131238;  14.6132129;1001.7140050;1002.4752418
   3.5000000; 176.2812826;  14.6125195;  14.6128424;1003.0859950;1002.5018488
   3.5200000; 176.2774275;  14.6122000;  14.6121923;1003.2000000;1002.5103897
   3.5400000; 176.2872899;  14.6130175;  14.6127579;1001.7140050;1002.4905966
   3.5600000; 176.2787174;  14.6123069;  14.6125846;1003.0859950;1002.5042442
   3.5800000; 176.2590000;  14.6106725;  14.6109293;1003.2000000;1002.5317300
