           t;          pp;         Mop;          Ms;         nsr;          ns
   0.0000000;   4.4200000;   0.3663879;   0.3663879;2000.0000000;2000.0000000
   0.0200000;   4.4300000;   0.3672169;   0.3670423;1992.0000000;1999.9867062
   0.0400000;   4.4185000;   0.3662636;   0.3666102;1997.1040150;2000.0079110
   0.0600000;   4.4162150;   0.3660742;   0.3659828;2003.2773110;2000.0108816
   0.0800000;   4.4089300;   0.3654703;   0.3655212;2001.2186740;2000.0123822
   0.1000000;   4.3946450;   0.3642862;   0.3644201;1997.5613440;2000.0242769
   0.1200000;   4.3795749;   0.3630370;   0.3630676;2002.7439780;2000.0308778
   0.1400000;   4.3621450;   0.3615922;   0.3616264;2000.2280110;2000.0349756
   0.1600000;   4.3537150;   0.3608934;   0.3607347;1997.0280110;2000.0245755
   0.1800000;   4.3540000;   0.3609170;   0.3607306;2002.7439780;2000.0064182
   0.2000000;   4.3628550;   0.3616510;   0.3614756;2000.2280110;1999.9879498
   0.2200000;   4.3771401;   0.3628351;   0.3627211;1997.0280110;1999.9740844
   0.2400000;   4.3986401;   0.3646173;   0.3644848;2002.7439780;1999.9602572
   0.2600000;   4.4203550;   0.3664174;   0.3664029;2000.2280110;1999.9546142
   0.2800000;   4.4378550;   0.3678680;   0.3679538;1997.0280110;1999.9598171
   0.3000000;   4.4456401;   0.3685133;   0.3687059;2002.7439780;1999.9760691
   0.3200000;   4.4465700;   0.3685904;   0.3687439;2000.2280110;1999.9926812
   0.3400000;   4.4490000;   0.3687918;   0.3687841;1997.0280110;1999.9962480
   0.3600000;   4.4432850;   0.3683181;   0.3684515;2002.7439780;2000.0060997
   0.3800000;   4.4465000;   0.3685846;   0.3684518;2000.2280110;1999.9998682
   0.4000000;   4.4482850;   0.3687326;   0.3687269;1997.0280110;1999.9956872
   0.4200000;   4.4525700;   0.3690878;   0.3690509;2002.7439780;1999.9926391
   0.4400000;   4.4607850;   0.3697687;   0.3696951;2000.2280110;1999.9858440
   0.4600000;   4.4730700;   0.3707871;   0.3707074;1997.0280110;1999.9774096
   0.4800000;   4.4848550;   0.3717640;   0.3717663;2002.7439780;1999.9748816
   0.5000000;   4.4985700;   0.3729009;   0.3728761;2000.2280110;1999.9725510
   0.5200000;   4.5185000;   0.3745529;   0.3744447;1996.4946780;1999.9630430
   0.5400000;   4.5480700;   0.3770041;   0.3768243;2000.0013080;1999.9455394
   0.5600000;   4.6715651;   0.3872410;   0.3855846;1991.3146590;1999.8132156
   0.5800000;   5.5510455;   0.4601439;   0.4466952;1977.8306260;1998.7385027
   0.6000000;  10.5461183;   0.8742015;   0.8002771;1963.7385640;1992.7039290
   0.6200000;  24.2065710;   2.0065601;   1.8441349;1950.5572380;1978.1026172
   0.6400000;  47.1807076;   3.9109598;   3.7272034;1930.3613440;1959.0873274
   0.6600000;  75.8810721;   6.2900248;   6.1730465;1924.1094290;1944.1705077
   0.6800000; 104.1497755;   8.6333081;   8.6393802;1941.2534070;1940.1991498
   0.7000000; 126.6826864;  10.5011332;  10.6188236;1966.2453770;1948.1073734
   0.7200000; 140.5182505;  11.6480074;  11.8293834;1983.9226890;1964.1642268
   0.7400000; 146.6956575;  12.1600724;  12.3259809;1991.7706810;1981.1605564
   0.7600000; 148.5789706;  12.3161863;  12.4143413;1998.3239960;1992.9078398
   0.7800000; 148.9341548;  12.3456286;  12.3822528;1999.4666670;1998.3043789
   0.8000000; 148.9454643;  12.3465661;  12.3542194;1998.0186740;1999.8774286
   0.8200000; 148.8125945;  12.3355521;  12.3375332;2000.3053220;2000.2389954
   0.8400000; 148.6378501;  12.3210670;  12.3217103;1999.5426700;2000.3482294
   0.8600000; 148.6204853;  12.3196275;  12.3168311;1997.4853410;2000.1604308
   0.8800000; 148.6919104;  12.3255482;  12.3234399;2000.3053220;1999.9243913
   0.9000000; 148.8474202;  12.3384389;  12.3367571;2000.0760040;1999.7355576
   0.9200000; 148.9742801;  12.3489547;  12.3493125;1997.5613440;1999.7101219
   0.9400000; 149.0754202;  12.3573386;  12.3579896;2000.8386560;1999.7639070
   0.9600000; 149.1834251;  12.3662914;  12.3663091;2001.0666670;1999.7786919
   0.9800000; 149.2782052;  12.3741480;  12.3743861;1998.0946780;1999.7927096
   1.0000000; 149.3738452;  12.3820760;  12.3821383;2000.8386560;1999.7998822
   1.0200000; 149.5074153;  12.3931480;  12.3925191;2000.5333330;1999.7495971
   1.0400000; 149.7880553;  12.4164112;  12.4137723;1996.9520070;1999.5257467
   1.0600000; 150.4672458;  12.4727114;  12.4654008;1997.4866480;1998.8849299
   1.0800000; 151.9208872;  12.5932084;  12.5787227;1995.9626520;1997.5530312
   1.1000000; 154.3377646;  12.7935511;  12.7749714;1989.8666670;1995.6801252
   1.1200000; 157.7655769;  13.0776934;  13.0582553;1989.1053220;1993.5883855
   1.1400000; 162.0518486;  13.4329962;  13.4166439;1988.8000000;1991.6646016
   1.1600000; 166.6138745;  13.8111571;  13.8059022;1987.0466850;1990.6332541
   1.1800000; 170.7370439;  14.1529398;  14.1621467;1991.0093370;1990.9943269
   1.2000000; 174.1287219;  14.4340869;  14.4503249;1994.8186740;1992.3048591
   1.2200000; 176.7164992;  14.6485960;  14.6663598;1994.9706810;1993.9557025
   1.2400000; 178.4583872;  14.7929867;  14.8111003;1998.7813260;1995.7097532
   1.2600000; 179.4490259;  14.8751039;  14.8912447;2000.4573300;1997.3594839
   1.2800000; 179.9420651;  14.9159735;  14.9270324;1997.5613440;1998.6006299
   1.3000000; 180.1437948;  14.9326955;  14.9391396;1999.8479930;1999.3729381
   1.3200000; 180.1887850;  14.9364249;  14.9398339;2000.5333330;1999.8003940
   1.3400000; 180.2227752;  14.9392425;  14.9397367;1998.0946780;1999.9295055
   1.3600000; 180.2982703;  14.9455005;  14.9446972;2000.8386560;1999.8805782
   1.3800000; 180.4079104;  14.9545889;  14.9538452;2001.0666670;1999.7988274
   1.4000000; 180.5377003;  14.9653476;  14.9649410;1998.0946780;1999.7428175
   1.4200000; 180.6580602;  14.9753246;  14.9755006;2000.8386560;1999.7395083
   1.4400000; 180.7372052;  14.9818852;  14.9827023;2001.0666670;1999.8013458
   1.4600000; 180.7817850;  14.9855806;  14.9863542;1998.0946780;1999.8791644
   1.4800000; 180.7769349;  14.9851785;  14.9861567;2000.3053220;1999.9729011
   1.5000000; 180.7215749;  14.9805896;  14.9816091;2000.9906630;2000.0774843
   1.5200000; 180.7062801;  14.9793217;  14.9787387;1997.5613440;2000.0633268
   1.5400000; 180.7569902;  14.9835253;  14.9822049;1999.8479930;1999.9475955
   1.5600000; 180.8384202;  14.9902752;  14.9895443;2000.5333330;1999.8537054
   1.5800000; 180.9339202;  14.9981915;  14.9979109;1998.0946780;1999.8088151
   1.6000000; 181.0137801;  15.0048114;  15.0051060;2000.8386560;1999.8194487
   1.6200000; 181.0865700;  15.0108452;  15.0110669;2001.0666670;1999.8409218
   1.6400000; 181.1272150;  15.0142144;  15.0148268;1998.0946780;1999.8905098
   1.6600000; 181.1434300;  15.0155585;  15.0161011;2000.8386560;1999.9468071
   1.6800000; 181.1512150;  15.0162038;  15.0164243;2001.0666670;1999.9777452
   1.7000000; 181.1640000;  15.0172636;  15.0171908;1998.0946780;1999.9779211
   1.7200000; 181.1790000;  15.0185070;  15.0184477;2000.8386560;1999.9708853
   1.7400000; 181.1877150;  15.0192294;  15.0193375;2001.0666670;1999.9768495
   1.7600000; 181.1787850;  15.0184892;  15.0188235;1998.0946780;2000.0048812
   1.7800000; 181.1775000;  15.0183827;  15.0183021;2000.8386560;2000.0082528
   1.8000000; 181.1864300;  15.0191229;  15.0189112;2001.0666670;1999.9900124
   1.8200000; 181.1875700;  15.0192174;  15.0193218;1998.0946780;1999.9918009
   1.8400000; 181.1887150;  15.0193123;  15.0193433;2000.8386560;1999.9969479
   1.8600000; 181.1933599;  15.0196973;  15.0196368;2001.0666670;1999.9931382
   1.8800000; 181.1840000;  15.0189215;  15.0191547;1998.0946780;2000.0090536
   1.9000000; 181.1745000;  15.0181340;  15.0181795;2000.8386560;2000.0192802
   1.9200000; 181.1656450;  15.0174000;  15.0173811;2001.0666670;2000.0195127
   1.9400000; 181.1481450;  15.0159493;  15.0160911;1998.0946780;2000.0301831
   1.9600000; 181.1197150;  15.0135927;  15.0138044;2000.8386560;2000.0509280
   1.9800000; 181.0895000;  15.0110881;  15.0111406;2001.0666670;2000.0619309
   2.0000000; 181.0746450;  15.0098567;  15.0095760;1998.0946780;2000.0432993
   2.0200000; 181.0673599;  15.0092528;  15.0090605;2000.8386560;2000.0216451
   2.0400000; 181.0515000;  15.0079381;  15.0080647;2001.0666670;2000.0263351
   2.0600000; 181.0405000;  15.0070263;  15.0069695;1998.0946780;2000.0261286
   2.0800000; 181.0277150;  15.0059665;  15.0059763;2000.8386560;2000.0258095
   2.1000000; 181.0092150;  15.0044330;  15.0045330;2001.0666670;2000.0342424
   2.1200000; 180.9860000;  15.0025086;  15.0026022;1998.0946780;2000.0448962
   2.1400000; 180.9785700;  15.0018927;  15.0016208;2000.8386560;2000.0277420
   2.1600000; 180.9848550;  15.0024137;  15.0021162;2001.0666670;1999.9979969
   2.1800000; 181.0195000;  15.0052855;  15.0047523;1998.0946780;1999.9489886
   2.2000000; 181.0601450;  15.0086547;  15.0084797;2000.8386560;1999.9196113
   2.2200000; 181.0832850;  15.0105729;  15.0108893;2001.0666670;1999.9371577
   2.2400000; 181.0927850;  15.0113604;  15.0116747;1998.0946780;1999.9687243
   2.2600000; 181.1014300;  15.0120770;  15.0121365;2000.8386560;1999.9814426
   2.2800000; 181.1069300;  15.0125329;  15.0125850;2001.0666670;1999.9866874
   2.3000000; 181.0922150;  15.0113131;  15.0116745;1998.0946780;2000.0153971
   2.3200000; 181.0667150;  15.0091993;  15.0094464;2000.8386560;2000.0447031
   2.3400000; 181.0398599;  15.0069732;  15.0070140;2001.0666670;2000.0556655
   2.3600000; 181.0045049;  15.0040425;  15.0041756;1998.0946780;2000.0680762
   2.3800000; 180.9783599;  15.0018753;  15.0017243;2000.8386560;2000.0617214
   2.4000000; 180.9527850;  14.9997553;  14.9997008;2001.0666670;2000.0545841
   2.4200000; 180.9417850;  14.9988435;  14.9985779;1998.0946780;2000.0339606
   2.4400000; 180.9566450;  15.0000753;  14.9995737;2000.8386560;1999.9889837
   2.4600000; 180.9625000;  15.0005606;  15.0006446;2001.0666670;1999.9810406
   2.4800000; 180.9514251;  14.9996426;  14.9999827;1998.0946780;2000.0089485
   2.5000000; 180.9600000;  15.0003534;  15.0000648;2000.8386560;1999.9967265
   2.5200000; 180.9632150;  15.0006199;  15.0006448;2001.0666670;1999.9904084
   2.5400000; 180.9572150;  15.0001225;  15.0003047;1998.0946780;2000.0048070
   2.5600000; 180.9547150;  14.9999153;  14.9998844;2001.3719890;2000.0076820
   2.5800000; 180.9409251;  14.9987722;  14.9989529;2001.1426700;2000.0207166
   2.6000000; 180.9446401;  14.9990802;  14.9988048;1998.6280110;2000.0052601
   2.6200000; 180.9715000;  15.0013067;  15.0008433;2001.8293190;1999.9623118
   2.6400000; 180.9922150;  15.0030238;  15.0030698;2001.6000000;1999.9520048
   2.6600000; 181.0006450;  15.0037226;  15.0039779;1998.0946780;1999.9717829
   2.6800000; 180.9796450;  15.0019818;  15.0025433;2000.8386560;2000.0211489
   2.7000000; 180.9355049;  14.9983229;  14.9988095;2001.0666670;2000.0744383
   2.7200000; 180.8885847;  14.9944335;  14.9945261;1998.0946780;2000.0966892
   2.7400000; 180.8205847;  14.9887968;  14.9891389;2000.8386560;2000.1273127
   2.7600000; 180.7466499;  14.9826681;  14.9828057;2001.0666670;2000.1500414
   2.7800000; 180.7012850;  14.9789077;  14.9783894;1998.0946780;2000.1175186
   2.8000000; 180.7096352;  14.9795998;  14.9785426;2000.8386560;2000.0248202
   2.8200000; 180.7358452;  14.9817725;  14.9812959;2001.0666670;1999.9592955
   2.8400000; 180.7481302;  14.9827908;  14.9830119;1998.6280110;1999.9619390
   2.8600000; 180.6755651;  14.9767757;  14.9783276;2000.9146590;2000.0856040
   2.8800000; 180.5723599;  14.9682207;  14.9690048;2001.6000000;2000.1907744
   2.9000000; 180.4606499;  14.9589607;  14.9591337;1999.6186740;2000.2298664
   2.9200000; 180.4931499;  14.9616547;  14.9590873;2001.4479930;2000.0438990
   2.9400000; 180.6005749;  14.9705595;  14.9687787;2001.6000000;1999.8368783
   2.9600000; 180.6746401;  14.9766990;  14.9771284;1999.6186740;1999.8162384
   2.9800000; 180.7542801;  14.9833006;  14.9834049;2001.4479930;1999.8325998
   3.0000000; 180.8559951;  14.9917321;  14.9913714;2002.1333330;1999.8045867
   3.0200000; 180.9211401;  14.9971322;  14.9977348;1999.1613440;1999.8362874
   3.0400000; 180.9640700;  15.0006908;  15.0012330;2001.9053220;1999.8911994
   3.0600000; 180.9693599;  15.0011293;  15.0018697;2002.0573300;1999.9605741
   3.0800000; 180.9548599;  14.9999273;  15.0003827;1998.6280110;2000.0152545
   3.1000000; 180.9207850;  14.9971027;  14.9974837;2000.8386560;2000.0573623
   3.1200000; 180.8954251;  14.9950006;  14.9948823;2001.0666670;2000.0602408
   3.1400000; 180.8962101;  14.9950656;  14.9945578;1998.6280110;2000.0194537
   3.1600000; 180.9003550;  14.9954092;  14.9952632;2000.9146590;1999.9944445
   3.1800000; 180.9160000;  14.9967061;  14.9965071;2001.6000000;1999.9750985
   3.2000000; 180.9122150;  14.9963923;  14.9967081;1999.0853410;1999.9930372
   3.2200000; 180.9135749;  14.9965051;  14.9964830;2001.3719890;2000.0001200
   3.2400000; 180.8962199;  14.9950664;  14.9953725;2001.0666670;2000.0227921
