           t;          pp;         Mop;          Ms;         nsr;          ns
   0.0000000;   4.4200000;   0.3663879;   0.3663879;2000.0000000;2000.0000000
   0.0200000;   4.4300000;   0.3672169;   0.3669820;1992.0000000;1999.9844960
   0.0400000;   4.4185000;   0.3662636;   0.3667146;1997.1040150;2000.0067803
   0.0600000;   4.4162150;   0.3660742;   0.3659894;2003.2773110;2000.0152181
   0.0800000;   4.4089300;   0.3654703;   0.3655178;2001.2186740;2000.0159316
   0.1000000;   4.3946450;   0.3642862;   0.3644688;1997.5613440;2000.0297019
   0.1200000;   4.3795749;   0.3630370;   0.3630900;2002.7439780;2000.0392863
   0.1400000;   4.3621450;   0.3615922;   0.3616356;2000.2280110;2000.0443773
   0.1600000;   4.3537150;   0.3608934;   0.3606808;1997.0280110;2000.0323585
   0.1800000;   4.3540000;   0.3609170;   0.3606525;2002.7439780;2000.0088302
   0.2000000;   4.3628550;   0.3616510;   0.3614078;2000.2280110;1999.9847621
   0.2200000;   4.3771401;   0.3628351;   0.3626794;1997.0280110;1999.9667625
   0.2400000;   4.3986401;   0.3646173;   0.3644408;2002.7439780;1999.9498132
   0.2600000;   4.4203550;   0.3664174;   0.3663933;2000.2280110;1999.9420251
   0.2800000;   4.4378550;   0.3678680;   0.3679877;1997.0280110;1999.9483172
   0.3000000;   4.4456401;   0.3685133;   0.3687796;2002.7439780;1999.9688067
   0.3200000;   4.4465700;   0.3685904;   0.3688067;2000.2280110;1999.9908164
   0.3400000;   4.4490000;   0.3687918;   0.3687815;1997.0280110;1999.9966462
   0.3600000;   4.4432850;   0.3683181;   0.3684847;2002.7439780;2000.0072531
   0.3800000;   4.4465000;   0.3685846;   0.3684148;2000.2280110;2000.0012967
   0.4000000;   4.4482850;   0.3687326;   0.3687079;1997.0280110;1999.9944326
   0.4200000;   4.4525700;   0.3690878;   0.3690419;2002.7439780;1999.9905664
   0.4400000;   4.4607850;   0.3697687;   0.3696693;2000.2280110;1999.9824445
   0.4600000;   4.4730700;   0.3707871;   0.3706750;1997.0280110;1999.9717109
   0.4800000;   4.4848550;   0.3717640;   0.3717633;2002.7439780;1999.9677800
   0.5000000;   4.4985700;   0.3729009;   0.3728715;2000.2280110;1999.9653407
   0.5200000;   4.5185000;   0.3745529;   0.3744047;1996.4946780;1999.9541251
   0.5400000;   4.5480700;   0.3770041;   0.3767516;2000.0013080;1999.9321880
   0.5600000;   4.6715651;   0.3872410;   0.3849995;1991.3146590;1999.7754119
   0.5800000;   5.5510455;   0.4601439;   0.4419096;1977.8306260;1998.4991772
   0.6000000;  10.5461183;   0.8742015;   0.7736220;1963.7385640;1991.2744485
   0.6200000;  24.2065710;   2.0065601;   1.7821152;1950.5572380;1973.2232103
   0.6400000;  47.1807076;   3.9109598;   3.6528339;1930.3613440;1948.8572691
   0.6600000;  75.8810721;   6.2900248;   6.1244711;1924.1094290;1929.2008837
   0.6800000; 104.1497755;   8.6333081;   8.6406954;1941.2534070;1923.5209099
   0.7000000; 126.6826864;  10.5011332;  10.6654150;1966.2453770;1933.4420333
   0.7200000; 140.5182505;  11.6480074;  11.8997635;1983.9226890;1954.1180966
   0.7400000; 146.6956575;  12.1600724;  12.3890034;1991.7706810;1976.2904005
   0.7600000; 148.5789706;  12.3161863;  12.4484508;1998.3239960;1991.7082202
   0.7800000; 148.9341548;  12.3456286;  12.3901683;1999.4666670;1998.5879986
   0.8000000; 148.9454643;  12.3465661;  12.3515876;1998.0186740;2000.2632470
   0.8200000; 148.8125945;  12.3355521;  12.3354412;2000.3053220;2000.4117649
   0.8400000; 148.6378501;  12.3210670;  12.3214508;1999.5426700;2000.4395935
   0.8600000; 148.6204853;  12.3196275;  12.3159761;1997.4853410;2000.2171024
   0.8800000; 148.6919104;  12.3255482;  12.3225203;2000.3053220;1999.9078138
   0.9000000; 148.8474202;  12.3384389;  12.3361385;2000.0760040;1999.6613707
   0.9200000; 148.9742801;  12.3489547;  12.3494425;1997.5613440;1999.6176370
   0.9400000; 149.0754202;  12.3573386;  12.3583530;2000.8386560;1999.6940060
   0.9600000; 149.1834251;  12.3662914;  12.3663621;2001.0666670;1999.7252919
   0.9800000; 149.2782052;  12.3741480;  12.3744060;1998.0946780;1999.7402538
   1.0000000; 149.3738452;  12.3820760;  12.3821456;2000.8386560;1999.7488574
   1.0200000; 149.5074153;  12.3931480;  12.3922807;2000.5333330;1999.6899206
   1.0400000; 149.7880553;  12.4164112;  12.4127846;1996.9520070;1999.4190453
   1.0600000; 150.4672458;  12.4727114;  12.4626547;1997.4866480;1998.6345017
   1.0800000; 151.9208872;  12.5932084;  12.5731842;1995.9626520;1996.9818137
   1.1000000; 154.3377646;  12.7935511;  12.7676140;1989.8666670;1994.6065154
   1.1200000; 157.7655769;  13.0776934;  13.0505962;1989.1053220;1991.9367437
   1.1400000; 162.0518486;  13.4329962;  13.4101874;1988.8000000;1989.4740677
   1.1600000; 166.6138745;  13.8111571;  13.8035147;1987.0466850;1988.1075214
   1.1800000; 170.7370439;  14.1529398;  14.1654383;1991.0093370;1988.5174756
   1.2000000; 174.1287219;  14.4340869;  14.4566159;1994.8186740;1990.2163018
   1.2200000; 176.7164992;  14.6485960;  14.6728705;1994.9706810;1992.3643150
   1.2400000; 178.4583872;  14.7929867;  14.8173196;1998.7813260;1994.6020086
   1.2600000; 179.4490259;  14.8751039;  14.8967422;2000.4573300;1996.6975343
   1.2800000; 179.9420651;  14.9159735;  14.9307196;1997.5613440;1998.2868025
   1.3000000; 180.1437948;  14.9326955;  14.9410179;1999.8479930;1999.2636839
   1.3200000; 180.1887850;  14.9364249;  14.9406453;2000.5333330;1999.7868811
   1.3400000; 180.2227752;  14.9392425;  14.9396643;1998.0946780;1999.9411507
   1.3600000; 180.2982703;  14.9455005;  14.9441916;2000.8386560;1999.8665758
   1.3800000; 180.4079104;  14.9545889;  14.9534491;2001.0666670;1999.7488807
   1.4000000; 180.5377003;  14.9653476;  14.9647744;1998.0946780;1999.6721396
   1.4200000; 180.6580602;  14.9753246;  14.9755737;2000.8386560;1999.6659830
   1.4400000; 180.7372052;  14.9818852;  14.9830183;2001.0666670;1999.7434279
   1.4600000; 180.7817850;  14.9855806;  14.9866716;1998.0946780;1999.8464993
   1.4800000; 180.7769349;  14.9851785;  14.9865016;2000.3053220;1999.9650921
   1.5000000; 180.7215749;  14.9805896;  14.9819820;2000.9906630;2000.0972297
   1.5200000; 180.7062801;  14.9793217;  14.9785609;1997.5613440;2000.0913627
   1.5400000; 180.7569902;  14.9835253;  14.9816343;1999.8479930;1999.9443456
   1.5600000; 180.8384202;  14.9902752;  14.9891902;2000.5333330;1999.8135668
   1.5800000; 180.9339202;  14.9981915;  14.9978265;1998.0946780;1999.7532809
   1.6000000; 181.0137801;  15.0048114;  15.0052390;2000.8386560;1999.7665678
   1.6200000; 181.0865700;  15.0108452;  15.0111834;2001.0666670;1999.7985659
