           t;          pp;         Mop;          Ms;         nsr;          ns
   1.3200000; 146.9239169;  12.1789936;  12.1639572; 596.5719890; 597.5774176
   1.3400000; 149.5991911;  12.4007556;  12.3624895; 594.7439780; 594.5510860
   1.3600000; 153.7065377;  12.7412267;  12.7007746; 590.9719890; 590.6180556
   1.3800000; 158.6423412;  13.1503712;  13.1265579; 586.5140055; 587.6577409
   1.4000000; 163.8960062;  13.5858643;  13.5786455; 586.5140055; 586.2614854
   1.4200000; 168.4446029;  13.9629121;  13.9821177; 588.9140055; 587.0992530
   1.4400000; 171.3425861;  14.2031352;  14.2490023; 591.4280110; 590.5240396
   1.4600000; 172.6871555;  14.3145908;  14.3612957; 593.8280110; 594.8771657
   1.4800000; 173.2263004;  14.3592823;  14.3852216; 596.9140055; 597.9497040
   1.5000000; 173.5403477;  14.3853147;  14.3921637; 599.2000000; 599.1678712
   1.5200000; 173.8212752;  14.4086016;  14.4084059; 600.0000000; 599.3518358
   1.5400000; 174.1243802;  14.4337270;  14.4325324; 600.0000000; 599.2565976
   1.5600000; 174.3462826;  14.4521212;  14.4538668; 600.0000000; 599.3236655
   1.5800000; 174.4699275;  14.4623705;  14.4653134; 600.0000000; 599.5615969
   1.6000000; 174.4903876;  14.4640665;  14.4670683; 600.0000000; 599.8437777
   1.6200000; 174.4983151;  14.4647237;  14.4654465; 600.0000000; 599.9815483
   1.6400000; 174.5427899;  14.4684103;  14.4674113; 600.0000000; 599.9374159
   1.6600000; 174.6080399;  14.4738191;  14.4730256; 600.0000000; 599.8532005
   1.6800000; 174.6545326;  14.4776730;  14.4780496; 600.0000000; 599.8514060
   1.7000000; 174.7164601;  14.4828064;  14.4826375; 600.0000000; 599.8496743
   1.7200000; 174.7340252;  14.4842624;  14.4852445; 600.0000000; 599.9069776
   1.7400000; 174.7747426;  14.4876376;  14.4873591; 600.0000000; 599.9174971
   1.7600000; 174.8622899;  14.4948947;  14.4936358; 600.0000000; 599.8244760
   1.7800000; 174.9391050;  14.5012621;  14.5012670; 600.0000000; 599.7832955
   1.8000000; 174.9392027;  14.5012702;  14.5032355; 600.0000000; 599.9099673
   1.8200000; 174.9312826;  14.5006137;  14.5012829; 600.0000000; 600.0134258
   1.8400000; 174.9574422;  14.5027822;  14.5019325; 600.0000000; 599.9780545
   1.8600000; 174.9710473;  14.5039099;  14.5039347; 600.0000000; 599.9530874
   1.8800000; 174.9814275;  14.5047704;  14.5049483; 600.0000000; 599.9649428
   1.9000000; 175.0157027;  14.5076116;  14.5070947; 600.0000000; 599.9357824
   1.9200000; 175.0564128;  14.5109862;  14.5107015; 600.0000000; 599.9000543
   1.9400000; 175.1253225;  14.5166983;  14.5160361; 600.0000000; 599.8460775
   1.9600000; 175.1491198;  14.5186709;  14.5196231; 600.0000000; 599.8861761
   1.9800000; 175.0821450;  14.5131192;  14.5155639; 600.0000000; 600.0752577
   2.0000000; 174.9347027;  14.5008972;  14.5032604; 600.0000000; 600.3077777
   2.0200000; 174.8602426;  14.4947250;  14.4932759; 600.0000000; 600.2895618
   2.0400000; 174.8655074;  14.4951614;  14.4926547; 600.0000000; 600.0836044
   2.0600000; 174.8768624;  14.4961026;  14.4955029; 600.0000000; 599.9680248
   2.0800000; 174.8765326;  14.4960753;  14.4964749; 600.0000000; 599.9755804
   2.1000000; 174.8942027;  14.4975400;  14.4972786; 600.0000000; 599.9703249
   2.1200000; 174.9486376;  14.5020523;  14.5010881; 600.0000000; 599.8981266
   2.1400000; 175.0421849;  14.5098068;  14.5086993; 600.0000000; 599.7937337
   2.1600000; 175.1409674;  14.5179952;  14.5177373; 600.0000000; 599.7394678
   2.1800000; 175.1636775;  14.5198777;  14.5217548; 600.0000000; 599.8515388
   2.2000000; 175.1384926;  14.5177900;  14.5194105; 600.0000000; 600.0142012
   2.2200000; 175.1950651;  14.5224795;  14.5207464; 600.0000000; 599.9498901
   2.2400000; 175.2019275;  14.5230483;  14.5236382; 600.0000000; 599.9344630
   2.2600000; 175.1688225;  14.5203042;  14.5215760; 600.0000000; 600.0357521
   2.2800000; 175.1652826;  14.5200107;  14.5195526; 600.0000000; 600.0452654
   2.3000000; 175.2173550;  14.5243272;  14.5227714; 600.0000000; 599.9290254
   2.3200000; 175.2859275;  14.5300114;  14.5293105; 600.0000000; 599.8336972
   2.3400000; 175.3423876;  14.5346915;  14.5349952; 600.0000000; 599.8296930
   2.3600000; 175.3260000;  14.5333331;  14.5352133; 600.0000000; 599.9606385
   2.3800000; 175.3545000;  14.5356956;  14.5350636; 600.0000000; 599.9763303
   2.4000000; 175.4090326;  14.5402159;  14.5392585; 600.0000000; 599.8931304
   2.4200000; 175.3810651;  14.5378976;  14.5396883; 600.0000000; 599.9802057
   2.4400000; 175.4154601;  14.5407487;  14.5398154; 600.0000000; 599.9736249
   2.4600000; 175.4550977;  14.5440344;  14.5435027; 600.0000000; 599.9091906
   2.4800000; 175.4539275;  14.5439374;  14.5448802; 600.0000000; 599.9536983
   2.5000000; 175.5092248;  14.5485212;  14.5474823; 600.0000000; 599.9135496
   2.5200000; 175.5881775;  14.5550658;  14.5541742; 600.0000000; 599.8212468
   2.5400000; 175.6046775;  14.5564336;  14.5578216; 600.0000000; 599.8827073
   2.5600000; 175.6000725;  14.5560518;  14.5569889; 600.0000000; 599.9856788
   2.5800000; 175.6255725;  14.5581656;  14.5575377; 600.0000000; 599.9728304
   2.6000000; 175.5789601;  14.5543018;  14.5557507; 600.0000000; 600.0486158
   2.6200000; 175.5224853;  14.5496204;  14.5502581; 600.0000000; 600.1362127
   2.6400000; 175.6129275;  14.5571174;  14.5536476; 600.0000000; 599.9288128
   2.6600000; 175.7194422;  14.5659468;  14.5646831; 600.0000000; 599.7371805
   2.6800000; 175.7324023;  14.5670211;  14.5693185; 600.0000000; 599.8460860
   2.7000000; 175.6537426;  14.5605007;  14.5633548; 600.0000000; 600.1031365
   2.7200000; 175.6241702;  14.5580494;  14.5573216; 600.0000000; 600.1445800
   2.7400000; 175.6321124;  14.5587077;  14.5573326; 600.0000000; 600.0333419
   2.7600000; 175.6186124;  14.5575887;  14.5578368; 600.0000000; 600.0078421
   2.7800000; 175.5720000;  14.5537248;  14.5547056; 600.0000000; 600.0804603
   2.8000000; 175.5450000;  14.5514867;  14.5512229; 600.0000000; 600.0945196
   2.8200000; 175.5246450;  14.5497994;  14.5494640; 600.0000000; 600.0656068
   2.8400000; 175.5046050;  14.5481382;  14.5480699; 600.0000000; 600.0517622
   2.8600000; 175.5001050;  14.5477652;  14.5474122; 600.0000000; 600.0271586
   2.8800000; 175.5220725;  14.5495862;  14.5488836; 600.0000000; 599.9703025
   2.9000000; 175.5285000;  14.5501190;  14.5503574; 600.0000000; 599.9639299
   2.9200000; 175.5214275;  14.5495327;  14.5499857; 600.0000000; 600.0006894
   2.9400000; 175.4987101;  14.5476496;  14.5480998; 600.0000000; 600.0443821
   2.9600000; 175.5150000;  14.5489999;  14.5481376; 600.0000000; 600.0019948
   2.9800000; 175.5469349;  14.5516471;  14.5510260; 600.0000000; 599.9343777
   3.0000000; 175.5388950;  14.5509806;  14.5518712; 600.0000000; 599.9730565
   3.0200000; 175.4941050;  14.5472679;  14.5484127; 600.0000000; 600.0757480
   3.0400000; 175.4689275;  14.5451808;  14.5448893; 600.0000000; 600.0929241
   3.0600000; 175.4691450;  14.5451988;  14.5443996; 600.0000000; 600.0324966
   3.0800000; 175.4826450;  14.5463179;  14.5458416; 600.0000000; 599.9769053
   3.1000000; 175.5062174;  14.5482719;  14.5480089; 600.0000000; 599.9445529
   3.1200000; 175.5096376;  14.5485554;  14.5490235; 600.0000000; 599.9665238
   3.1400000; 175.4787679;  14.5459965;  14.5469459; 600.0000000; 600.0431464
   3.1600000; 175.5245326;  14.5497901;  14.5481617; 600.0000000; 599.9655746
   3.1800000; 175.6270872;  14.5582912;  14.5564730; 600.0000000; 599.7947041
