           t;          pp;         Mop;          Ms;         nsr;          ns
   0.0000000;   2.4900000;   0.2064041;   0.2064041;1000.0000000;1002.5000000
   0.0200000;   2.4750000;   0.2051607;   0.2055130;1004.0000000;1002.5232561
   0.0400000;   2.4617174;   0.2040596;   0.2041003;1003.0859950;1002.5371673
   0.0600000;   2.4458624;   0.2027454;   0.2027733;1003.2000000;1002.5408050
   0.0800000;   2.4227174;   0.2008268;   0.2009949;1001.7140050;1002.5533834
   0.1000000;   2.3935725;   0.1984109;   0.1985818;1003.0859950;1002.5706636
   0.1200000;   2.3781450;   0.1971320;   0.1968233;1003.2000000;1002.5566229
   0.1400000;   2.3657174;   0.1961019;   0.1959320;1001.7140050;1002.5367293
   0.1600000;   2.3511450;   0.1948939;   0.1949313;1003.0859950;1002.5345354
   0.1800000;   2.3305725;   0.1931886;   0.1933516;1003.2000000;1002.5469864
   0.2000000;   2.3181450;   0.1921585;   0.1919957;1001.7140050;1002.5419855
   0.2200000;   2.3057174;   0.1911283;   0.1910665;1003.0859950;1002.5335113
   0.2400000;   2.2911450;   0.1899203;   0.1899686;1003.2000000;1002.5353124
   0.2600000;   2.2735725;   0.1884637;   0.1885474;1001.7140050;1002.5428661
   0.2800000;   2.2615725;   0.1874690;   0.1873471;1003.0859950;1002.5380539
   0.3000000;   2.2521450;   0.1866875;   0.1865840;1003.2000000;1002.5280330
   0.3200000;   2.2431450;   0.1859415;   0.1859158;1001.7140050;1002.5235759
   0.3400000;   2.2285725;   0.1847335;   0.1848659;1003.0859950;1002.5318892
   0.3600000;   2.2165725;   0.1837388;   0.1837083;1003.2000000;1002.5344532
   0.3800000;   2.2071450;   0.1829573;   0.1828709;1001.7140050;1002.5283276
   0.4000000;   2.1981450;   0.1822113;   0.1821800;1003.0859950;1002.5240306
   0.4200000;   2.1865725;   0.1812520;   0.1813108;1003.2000000;1002.5273168
   0.4400000;   2.1750000;   0.1802927;   0.1803063;1001.7140050;1002.5304463
   0.4600000;   2.1655725;   0.1795112;   0.1794537;1003.0859950;1002.5275303
   0.4800000;   2.1587174;   0.1789430;   0.1788637;1003.2000000;1002.5209381
   0.5000000;   2.1497174;   0.1781970;   0.1782316;1001.7140050;1002.5210998
   0.5200000;   2.1390000;   0.1773086;   0.1773626;1003.0859950;1002.5260664
   0.5400000;   2.1402826;   0.1774149;   0.1771387;1003.2000000;1002.5099012
   0.5600000;   2.1621376;   0.1792265;   0.1786703;1000.1140050;1002.4648097
   0.5800000;   2.2199926;   0.1840223;   0.1830778;1000.4579840;1002.3847821
   0.6000000;   2.3464128;   0.1945017;   0.1927399; 995.6579835;1002.2376247
   0.6200000;   2.7081008;   0.2244831;   0.2186716; 989.1439780;1001.7957087
   0.6400000;   4.6790126;   0.3878583;   0.3489552; 981.7159670; 999.0377472
   0.6600000;  11.2218516;   0.9302152;   0.8146227; 969.9439780; 990.1545430
   0.6800000;  21.9513446;   1.8196172;   1.6994502; 960.0019615; 978.4698447
   0.7000000;  39.0600466;   3.2378122;   3.0747266; 951.2019615; 963.6386515
   0.7200000;  64.8031799;   5.3717429;   5.1479134; 947.7719890; 943.2479462
   0.7400000;  93.4533031;   7.7466433;   7.6501240; 948.2260495; 929.0793663
   0.7600000; 118.4065181;   9.8150951;   9.9124234; 954.7380935; 931.4247206
   0.7800000; 135.5325491;  11.2347266;  11.4616089; 973.7120440; 948.3311904
   0.8000000; 143.3167594;  11.8799847;  12.1506791; 994.2859945; 972.3713789
